﻿name,original,category,size1,size2,url,price,discount,score,
Elsa Classic Doll with Ring,Frozen,Classic Dolls,,11 1/2'',https://www.shopdisney.com/elsa-classic-doll-with-ring-frozen-11-12-460017965066.html,$14.95 ,,3.7,
Jasmine Classic Doll with Ring,Aladdin,Classic Dolls,,11 1/2'',https://www.shopdisney.com/jasmine-classic-doll-with-ring-aladdin-11-12-460017964151.html,$14.95 ,2 OR MORE $12 EACH,4.3,
Rapunzel Classic Doll with Ring,Tangled,Classic Dolls,,11 1/2'',https://www.shopdisney.com/rapunzel-classic-doll-with-ring-tangled-11-12-460017964236.html,$14.95 ,2 OR MORE $12 EACH,2,
Anna Classic Doll with Ring,Frozen,Classic Dolls,,,https://www.shopdisney.com/anna-classic-doll-with-ring-frozen-460017964984.html,$14.95 ,,3.6,
Cinderella Classic Doll with Ring,Cinderella,Classic Dolls,,11 1/2'',https://www.shopdisney.com/cinderella-classic-doll-with-ring-11-12-460017963659.html,$14.95 ,2 OR MORE $12 EACH,3.8,
Snow White Classic Doll with Ring,Snow White,Classic Dolls,,11 1/2'',https://www.shopdisney.com/snow-white-classic-doll-with-ring-11-12-460017963734.html,$14.95 ,2 OR MORE $12 EACH,4.7,
Aurora Classic Doll with Ring,Sleeping Beauty,Classic Dolls,,11 1/2'',https://www.shopdisney.com/aurora-classic-doll-with-ring-sleeping-beauty-11-12-460017963819.html,$14.95 ,2 OR MORE $12 EACH,4.8,
Ariel Classic Doll with Ring,The Little Mermaid,Classic Dolls,,11 1/2'',https://www.shopdisney.com/ariel-classic-doll-with-ring-the-little-mermaid-11-12-460017963994.html,$14.95 ,2 OR MORE $12 EACH,3.9,
Belle Classic Doll with Ring,Beauty and the Beast,Classic Dolls,,11 1/2'',https://www.shopdisney.com/belle-classic-doll-with-ring-beauty-and-the-beast-11-12-460017964076.html,$14.95 ,2 OR MORE $12 EACH,4,
Tiana Classic Doll with Ring,The Princess and the Frog,Classic Dolls,,11 1/2'',https://www.shopdisney.com/tiana-classic-doll-with-ring-the-princess-and-the-frog-11-12-460017964496.html,$14.95 ,2 OR MORE $12 EACH,3.3,
